------------------------ New data for 2022/03/22 07:44:02 ------------------------
[(-1, 3, -3), (-3, 3, -2), (-2, l, -3)]
[(-2, -2, -3), (1, -1, 1), (l, 2, 0)]
[(l, 1, 3), (-2, -5, -5), (1, -2, -1)]
[(2, 2, 0), (1, 2, 1), (1, 2, l)]
[(1, -4, l), (-1, 2, 3), (0, -4, -3)]
[(-1, 5, 2), (-2, 3, 3), (-3, 5, l)]
[(-1, l, 1), (0, -2, -1), (2, -2, 4)]
[(-3, l, -2), (1, 2, 3), (-4, -2, -4)]
[(2, -3, l), (-3, 1, -5), (1, -1, 2)]
[(3, -2, l), (-1, 2, 1), (5, -5, 2)]
[(-1, -3, 1), (2, -3, 3), (l, -1, 3)]
[(l, -2, 1), (-1, 2, -1), (-3, 5, -3)]
[(0, -4, 2), (1, 5, -2), (l, 1, 0)]
[(-1, -2, -3), (-1, 2, 5), (-1, -2, l)]
[(l, 1, -2), (-1, 1, 1), (-5, 1, 4)]
[(5, 4, 3), (-4, -3, -2), (1, l, -1)]
[(l, 2, -1), (1, 2, 3), (-2, 0, 1)]
[(1, 0, -1), (-3, -3, l), (2, 3, 0)]
[(-2, l, -1), (-1, 1, -2), (2, 2, 2)]
[(-2, 3, l), (0, 1, -3), (1, -1, 1)]
[(l, 4, 2), (1, 3, 3), (1, -1, 1)]
[(-1, 2, 1), (0, 3, -1), (l, 4, -3)]
[(-1, 2, 0), (-5, 5, -4), (2, 0, l)]
[(1, 1, 4), (2, -1, 5), (-1, l, -3)]
[(-3, 4, -2), (-2, 4, -2), (1, 1, l)]
[(0, -1, 1), (-4, 3, l), (-1, -1, 2)]
[(1, l, 3), (0, -2, -3), (-3, -1, -1)]
[(1, -3, 2), (-2, -3, l), (0, -1, -2)]
[(-2, 5, 3), (-2, 1, 2), (1, -1, l)]
[(2, 3, 1), (1, 1, l), (4, 2, 3)]
[(-3, 1, -3), (-3, 4, -2), (1, l, 2)]
[(0, 4, -3), (-1, 4, -3), (-1, -1, l)]
[(l, 2, -2), (-2, 1, 3), (1, 3, -1)]
[(-1, -1, 1), (3, -1, 1), (4, l, 4)]
[(-1, 1, 3), (l, -3, -2), (-1, -1, -1)]
[(1, 2, l), (0, -1, 3), (-2, -1, -4)]
[(-5, -1, 2), (l, 1, 0), (1, -1, 1)]
[(1, -2, -2), (1, -1, 1), (l, 4, 3)]
[(-1, 2, 0), (2, -1, l), (3, -2, 4)]
[(-1, 1, l), (2, -1, 1), (1, -5, -4)]
[(2, 2, 1), (1, -2, l), (2, -1, 4)]
[(0, 1, 4), (l, 0, 1), (-1, -1, 2)]
[(-2, -1, -4), (1, 1, 1), (3, -1, l)]
[(0, -1, 5), (-2, -1, 0), (-1, l, 2)]
[(-1, -1, 2), (-5, -5, 5), (4, l, -5)]
[(-1, 3, 0), (-1, l, -3), (1, -2, 1)]
[(-2, -1, 0), (0, -2, 4), (1, 1, l)]
[(-4, l, 5), (-2, 4, 4), (1, 0, 1)]
[(0, -3, l), (2, -2, -2), (-1, -4, 1)]
[(1, 2, l), (-3, -1, 0), (4, 3, 1)]
[(-3, 5, -5), (1, l, 0), (1, -4, 2)]
[(l, -2, 2), (-1, 0, -3), (1, -2, 5)]
[(-1, 3, -1), (1, -2, -1), (0, l, 2)]
[(-1, 4, -2), (-2, 1, -1), (-2, -2, l)]
[(l, -1, 3), (-1, 1, 1), (3, -1, 1)]
[(3, 1, l), (-1, 0, -2), (-3, -3, -4)]
[(-1, l, 2), (0, -1, -5), (-2, -3, -5)]
[(-1, -4, -1), (l, 1, -1), (1, 4, -1)]
[(l, -3, -1), (-1, 2, 1), (-5, 2, 0)]
[(1, 0, 1), (l, 1, 1), (-2, -3, -4)]
[(4, 1, 5), (-3, l, -2), (-1, -2, -3)]
[(-2, -5, -3), (1, 0, -1), (0, -4, l)]
[(l, -2, 1), (-3, 4, 3), (1, -1, -2)]
[(1, -3, -1), (l, -1, -1), (-1, -5, -5)]
[(2, 4, -1), (l, -4, 0), (1, -2, 1)]
[(4, 3, 5), (-4, l, -4), (1, 2, 1)]
[(-3, 1, l), (0, 3, -3), (-1, -3, 2)]
[(4, -2, 2), (3, -3, -1), (1, -3, l)]
[(-1, -2, 2), (1, 1, 4), (l, 2, 0)]
[(0, -2, 3), (-1, 2, 0), (l, -1, 4)]
[(-1, -2, -4), (l, 0, -1), (-3, -1, -3)]
[(1, 0, 1), (2, l, -1), (1, 4, -1)]
[(1, 2, l), (-1, 1, 3), (5, 0, -5)]
[(1, 2, l), (-2, 2, -1), (-2, -3, 0)]
[(1, 5, 3), (2, 4, 2), (-1, -5, l)]
[(-1, l, -4), (-1, -2, -5), (0, -2, -2)]
[(-1, -2, -3), (3, 1, 2), (2, 1, l)]
[(-1, 1, 1), (-3, -2, -4), (l, 1, -2)]
[(3, 1, 4), (-1, -3, l), (1, -1, -2)]
[(l, 4, -1), (1, -3, 1), (-2, 1, -2)]
[(2, 0, 1), (-1, 3, -3), (l, 3, 0)]
[(1, 0, -5), (l, 2, 2), (1, 2, 4)]
[(-5, 2, -2), (0, 2, -2), (1, 0, l)]
[(-1, 1, 1), (0, 2, -1), (5, l, 0)]
[(1, 1, 1), (-4, -5, 5), (3, 3, l)]
[(0, 1, 2), (1, l, -2), (-2, 3, 3)]
[(1, -2, 3), (1, -4, l), (-2, 3, 0)]
[(-2, 0, 3), (-1, l, 0), (-2, -1, 4)]
[(1, -3, -2), (-3, 2, l), (3, -5, 0)]
[(1, 0, 1), (2, 4, -3), (-3, l, 3)]
[(-1, l, -2), (-3, 1, 2), (-2, 3, 4)]
[(l, 5, -1), (1, 5, -1), (2, 3, -2)]
[(-2, 3, -3), (3, 0, 1), (1, 3, l)]
[(-3, l, 2), (1, -2, -1), (0, 1, -3)]
[(l, 4, 5), (-2, 1, 1), (1, 1, -1)]
[(l, 3, -3), (1, -2, 1), (-4, -1, 4)]
[(l, -5, 5), (2, -2, 1), (1, -2, 3)]
[(-5, 2, -5), (0, -1, -1), (l, -2, 2)]
[(3, -5, 1), (l, -5, -1), (-2, 1, -1)]
[(2, l, -1), (-4, -5, -3), (1, 2, 0)]
[(-2, 2, -1), (2, l, -2), (-1, 3, 1)]
------------------------ New data for 2022/03/22 08:58:49 ------------------------
------------------------ New data for 2022/03/22 09:02:44 ------------------------
